0.05,0.0
0.15,0.0
0.25,0.0
0.35,0.0
0.45,0.0
0.55,0.0
0.65,0.0
0.75,0.0
0.85,0.0
0.95,0.0
1.05,0.0
1.15,0.0
1.25,0.0
1.35,0.0
1.45,0.0
1.55,0.0
1.65,0.0
1.75,0.0
1.85,0.0
1.95,0.0
2.05,0.0
2.15,0.0825
2.25,2.3174
2.35,6.4163
2.45,6.3085
2.55,3.6378
2.65,1.708
2.75,0.8451
2.85,0.4433
2.95,0.2357
3.05,0.1769
3.15,0.1538
3.25,0.1535
3.35,0.1742
3.45,0.2304
3.55,0.2725
3.65,0.3401
3.75,0.4867
3.85,0.6017
3.95,0.7245
4.05,0.9581
4.15,1.0385
4.25,1.1394
4.35,1.288
4.45,1.3416
4.55,1.4192
4.65,1.4305
4.75,1.4311
4.85,1.4224
4.95,1.2478
5.05,1.2241
5.15,1.1177
5.25,0.9509
5.35,0.9348
5.45,0.9322
5.55,0.8695
5.65,0.892
5.75,0.8533
5.85,0.9185
5.95,0.8858
6.05,0.9011
6.15,0.9351
6.25,0.9738
6.35,0.9741
6.45,0.9808
6.55,0.9883
6.65,0.9917
6.75,1.0275
6.85,1.0134
6.95,1.0215
7.05,1.0335
7.15,1.002
7.25,0.966
7.35,1.0145
7.45,0.9487
7.55,0.9581
7.65,0.9959
7.75,0.9676
7.85,1.0016
7.95,0.9871
8.05,0.9863
8.15,0.977
8.25,1.0245
8.35,1.0347
8.45,1.0154
8.55,1.042
8.65,1.0375
8.75,1.0332
8.85,0.9652
8.95,1.0394
9.05,1.0124
9.15,1.0052
9.25,0.9886
9.35,1.0143
9.45,0.9817
9.55,0.9798
9.65,1.0098
9.75,0.9907
9.85,0.9827
9.95,0.9811
